Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.31,M,3,38,7,2012
ATSEA,0.41,F,4,40,7,2012
ATSEA,0.41,F,4,41,7,2012
ATSEA,0.22,M,2,34,7,2012
ATSEA,0.42,M,3,40,7,2012
ATSEA,0.27,F,2,34,7,2012
ATSEA,0.37,M,4,39,7,2012
ATSEA,0.41,F,4,40,7,2012
ATSEA,0.43,F,4,42,7,2012
ATSEA,0.43,M,4,42,7,2012
ATSEA,0.43,M,4,42,7,2012
ATSEA,0.48,M,3,43,7,2012
ATSEA,0.26,M,2,37,7,2012
ATSEA,0.38,F,5,41,7,2012
ATSEA,0.43,F,4,42,7,2012
ATSEA,0.34,M,4,39,7,2012
ATSEA,0.22,F,2,31,7,2012
ATSEA,0.33,F,4,38,7,2012
ATSEA,0.36,M,4,38,7,2012
ATSEA,0.34,M,4,39,7,2012
ATSEA,0.4,M,4,40,7,2012
ATSEA,0.33,M,3,39,7,2012
ATSEA,0.34,M,3,40,7,2012
ATSEA,0.32,F,4,37,7,2012
ATSEA,0.45,M,4,42,7,2012
ATSEA,0.36,F,4,41,7,2012
ATSEA,0.42,F,4,42,7,2012
ATSEA,0.38,M,5,40,7,2012
ATSEA,0.47,M,4,42,7,2012
ATSEA,0.42,M,3,42,7,2012
ATSEA,0.45,M,4,41,8,2012
ATSEA,0.56,M,9,45,8,2012
ATSEA,0.28,F,3,37,8,2012
ATSEA,0.37,M,5,39,8,2012
ATSEA,0.33,M,4,39,8,2012
ATSEA,0.47,M,5,43,8,2012
ATSEA,0.32,F,4,38,7,2012
ATSEA,0.46,F,4,43,7,2012
ATSEA,0.47,F,4,43,7,2012
ATSEA,0.37,M,4,39,7,2012
ATSEA,0.6,M,7,45,7,2012
ATSEA,0.63,M,6,48,7,2012
ATSEA,0.34,M,4,37,7,2012
ATSEA,0.4,M,5,41,7,2012
ATSEA,0.47,F,4,43,7,2012
ATSEA,0.42,M,4,41,8,2012
ATSEA,0.44,M,3,43,8,2012
ATSEA,0.78,F,18,52,8,2012
ATSEA,0.35,M,4,39,8,2012
ATSEA,0.41,M,3,42,8,2012
ATSEA,0.44,M,3,42,8,2012
ATSEA,0.71,M,5,48,8,2012
ATSEA,0.37,F,4,38,8,2012
ATSEA,0.42,F,5,41,8,2012
ATSEA,0.41,M,5,40,8,2012
ATSEA,0.41,M,5,42,8,2012
ATSEA,0.41,F,4,43,8,2012
ATSEA,0.4,M,4,40,8,2012
ATSEA,0.4,F,2,40,8,2012
ATSEA,0.39,F,4,41,8,2012
ATSEA,0.39,M,4,38,8,2012
ATSEA,0.42,F,4,41,8,2012
ATSEA,0.54,F,6,45,8,2012
ATSEA,0.46,M,4,43,8,2012
ATSEA,0.44,F,4,43,8,2012
ATSEA,0.72,F,14,51,8,2012
ATSEA,0.45,F,4,41,8,2012
ATSEA,0.81,F,4,42,8,2012
ATSEA,0.36,M,3,38,8,2012
ATSEA,0.71,F,7,50,8,2012
ATSEA,0.44,F,4,42,8,2012
ATSEA,0.44,M,4,43,8,2012
ATSEA,0.76,M,9,52,8,2012
ATSEA,0.42,F,3,43,8,2012
ATSEA,0.5,M,4,42,8,2012
ATSEA,0.45,M,3,42,8,2012
ATSEA,0.45,M,4,42,8,2012
ATSEA,0.34,M,4,39,8,2012
ATSEA,0.3,F,4,38,8,2012
ATSEA,0.42,F,4,40,8,2012
ATSEA,0.33,M,3,37,8,2012
