"age","year","doy","p_mature","model"
6,2017,278,0.998107471035907,"Spatial + temperature"
6,2018,182,0.993355052707661,"Spatial + temperature"
6,2018,278,0.998490147560358,"Spatial + temperature"
6,2019,182,0.981230953436711,"Spatial + temperature"
6,2019,278,0.995694725327478,"Spatial + temperature"
6,2020,182,0.993255588757557,"Spatial + temperature"
6,2020,278,0.998467428961029,"Spatial + temperature"
6,2021,182,0.993182785060087,"Spatial + temperature"
6,2021,278,0.998450797611455,"Spatial + temperature"
6,2022,182,0.993038150391066,"Spatial + temperature"
6,2022,278,0.998417751532401,"Spatial + temperature"
6,2023,182,0.992636777681318,"Spatial + temperature"
6,2023,278,0.998326007059513,"Spatial + temperature"
6,2024,182,0.980912259494127,"Spatial + temperature"
6,2024,278,0.995620526654026,"Spatial + temperature"
7,2003,182,0.997402676214575,"Spatial + temperature"
7,2003,278,0.999411693460609,"Spatial + temperature"
7,2004,182,0.997060516247371,"Spatial + temperature"
7,2004,278,0.999334015836997,"Spatial + temperature"
7,2005,182,0.997385871915189,"Spatial + temperature"
7,2005,278,0.999407879488168,"Spatial + temperature"
7,2006,182,0.995118102697107,"Spatial + temperature"
7,2006,278,0.998892263801146,"Spatial + temperature"
7,2007,182,0.996573106772063,"Spatial + temperature"
7,2007,278,0.999223292238651,"Spatial + temperature"
7,2008,182,0.987094040909369,"Spatial + temperature"
7,2008,278,0.997053178957164,"Spatial + temperature"
7,2009,182,0.993959947918544,"Spatial + temperature"
7,2009,278,0.998628236236996,"Spatial + temperature"
7,2010,182,0.997082119744076,"Spatial + temperature"
7,2010,278,0.999338921511882,"Spatial + temperature"
7,2011,182,0.993041615517202,"Spatial + temperature"
7,2011,278,0.998418543330189,"Spatial + temperature"
7,2012,182,0.990587511351919,"Spatial + temperature"
7,2012,278,0.997856697455906,"Spatial + temperature"
7,2013,182,0.993220713127277,"Spatial + temperature"
7,2013,278,0.998459462172216,"Spatial + temperature"
7,2014,182,0.996803771284544,"Spatial + temperature"
7,2014,278,0.999275702160312,"Spatial + temperature"
