yr,fishery_independent_cpue,author,model,value,model_type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2014,,JTC,Base,SB million mt,WtAtAge,,,,,,,1.04618,0.967195,0.89899,0.96216,1.031295,1.023195,1.217525,1.388335,1.405295,1.404865,1.375975,1.29476,1.20279,1.240545,1.24209,1.21505,1.617915,2.01326,2.12216,2.02025,2.24811,2.36693,2.27665,2.19042,2.062675,1.87636,1.723155,1.549575,1.35378,1.136495,1.07693,0.977485,0.8686,0.75159,0.65956,0.960645,1.242115,1.362205,1.294335,1.09043,0.842775,0.656405,0.57899,0.479433,0.567735,0.66852,1.138605,1.56562,1.722345,,,,,,,,,,
2015,,JTC,Base,SB million mt,WtAtAge,,,,,,,1.076125,1.00287,0.93086,0.98986,1.061725,1.050115,1.256555,1.44105,1.454845,1.454185,1.43012,1.35455,1.25883,1.297145,1.307905,1.269425,1.687635,2.07664,2.199945,2.095735,2.286045,2.411525,2.310485,2.2167,2.082345,1.895755,1.73793,1.56971,1.37808,1.154695,1.101355,1.01426,0.913625,0.79384,0.69334,0.99398,1.27406,1.391165,1.32166,1.11818,0.866585,0.68053,0.602,0.4967985,0.609825,0.71292,1.16188,1.549175,1.70332,1.663,,,,,,,,,
2016,,JTC,Base,SB million mt,WtAtAge,,,,,,,1.156705,1.089525,1.024675,1.087755,1.14379,1.13982,1.37186,1.56729,1.58578,1.602725,1.560365,1.485955,1.379305,1.41009,1.41885,1.381965,1.800075,2.22204,2.35211,2.23729,2.43498,2.526075,2.41249,2.303555,2.15956,1.96653,1.79539,1.61815,1.42643,1.189065,1.122285,1.02453,0.91187,0.790375,0.69011,0.987345,1.26292,1.385115,1.320025,1.11829,0.865415,0.675375,0.590925,0.484052,0.57244,0.65081,1.06746,1.46111,1.59431,1.535985,1.884765,,,,,,,,
2017,,JTC,Base,SB million mt,WtAtAge,,,,,,,1.086,1.011,0.937,1.005,1.084,1.083,1.281,1.455,1.456,1.469,1.456,1.389,1.29,1.339,1.371,1.342,1.81,2.256,2.386,2.269,2.473,2.587,2.46,2.353,2.213,2.004,1.807,1.614,1.408,1.162,1.102,1.014,0.908,0.785,0.678,1.004,1.311,1.451,1.392,1.195,0.942,0.753,0.673,0.565,0.652,0.724,1.167,1.574,1.718,1.638,1.993,2.129,,,,,,,
2018,,JTC,Base,SB million mt,WtAtAge,,,,,,,0.8604275,0.852515,0.8407675,0.92216,1.0833075,1.1122925,1.17082,1.5129975,1.4927725,1.351505,1.457105,1.38382,1.271675,1.2388325,1.4242525,1.3789475,1.5333175,2.3394475,2.3651325,1.97725,1.9735575,2.476705,2.372335,2.0402025,2.06977,1.9295825,1.656125,1.55269,1.3905175,1.0831075,1.0707075,1.060985,0.9223575,0.787405,0.6657075,0.8827625,1.5135325,1.5798775,1.3336025,1.071775,0.8745375,0.6956575,0.6547275,0.5947675,0.56827,0.719325,0.92001,1.5456575,1.5478825,1.2889375,1.274975,1.4690025,1.3565275,,,,,,
2019,,JTC,Base,SB million mt,WtAtAge,,,,,,,0.87423,0.8640025,0.852775,0.9391375,1.10547,1.131535,1.19082,1.53723,1.51807,1.7548125,2.165485,1.867455,1.5716625,1.6394025,1.6405775,1.494035,1.5304025,2.176305,2.238365,2.0129925,2.025475,2.35048,2.2551725,1.8488825,1.96537,1.83123,1.5190475,1.206555,1.16504,0.99356,0.97291,1.00708,0.8508775,0.713765,0.75878,1.0635575,1.8431025,1.6743775,1.34885,1.048995,0.838515,0.65147,0.657065,0.5645775,0.54958,0.673855,0.85003,1.51111,1.5688575,1.1538275,1.040115,1.3508725,1.34572,1.31166,,,,,
2020,,JTC,Base,SB million mt,WtAtAge,,,,,,,0.83927,0.8364825,0.835225,0.9115575,1.071775,1.103265,1.1739325,1.5174475,1.491435,1.7245625,2.116685,1.8194875,1.540915,1.602535,1.615245,1.4704375,1.49942,2.133065,2.1981025,1.9810975,1.99126,2.3264725,2.2578275,1.8319275,1.9470675,1.82606,1.5071775,1.200185,1.1600075,0.9968725,0.9768975,1.0127075,0.858945,0.7190925,0.7680525,1.0793475,1.880855,1.7151825,1.36306,1.06419,0.86455,0.6786425,0.6908525,0.6020025,0.5905025,0.72742,0.939725,1.6963475,1.78398,1.3372925,1.1980825,1.548025,1.48355,1.3794075,1.196325,,,,
2021,,JTC,Base,SB million mt,WtAtAge,,,,,,,0.83164,0.8309125,0.8241325,0.91937,1.083233,1.11682,1.18367,1.528587,1.507065,1.73328,2.135543,1.842602,1.557208,1.623347,1.632085,1.487065,1.530575,2.152705,2.218072,1.915282,2.006943,2.34349,2.270968,1.87691,1.988698,1.83601,1.514522,1.209488,1.168748,1.004377,0.982595,1.01893,0.8638275,0.72656,0.78674,1.089865,1.857372,1.730878,1.374157,1.073583,0.8746925,0.689,0.70337,0.60701,0.6051225,0.74748,0.97642,1.785347,1.889378,1.424043,1.260165,1.593202,1.49786,1.48615,1.299523,0.98085,,,
2022,,JTC,Base,SB million mt,WtAtAge,,,,,,,0.861695,0.863018,0.858639,0.953381,1.13196,1.17,1.23664,1.59237,1.56868,1.80696,2.22457,1.91832,1.61904,1.68616,1.68996,1.53534,1.58153,2.22396,2.28508,1.96781,2.06154,2.40585,2.32935,1.92329,2.0345,1.8765,1.54609,1.23233,1.19036,1.02441,1.00178,1.03498,0.878156,0.738758,0.798664,1.11248,1.89729,1.7641,1.39753,1.09185,0.89061,0.701674,0.720211,0.625858,0.625307,0.775569,1.02472,1.87806,1.98693,1.50156,1.32781,1.67639,1.61503,1.69719,1.53816,1.3474,1.1712,,
2023,,JTC,Base,SB million mt,WtAtAge,,,,,,,0.8767515,0.875639,0.8741975,0.972257,1.1451,1.185365,1.25605,1.6196,1.59384,1.83312,2.254515,1.946505,1.646505,1.713045,1.720755,1.565575,1.60158,2.24027,2.30275,1.98422,2.079005,2.41956,2.31841,1.92944,2.024685,1.88656,1.556805,1.24095,1.19687,1.030015,1.005595,1.038955,0.881221,0.7408425,0.800673,1.112005,1.891375,1.759305,1.393695,1.088425,0.885223,0.697386,0.71417,0.626412,0.618565,0.767927,1.00718,1.844145,1.94713,1.47673,1.28687,1.6403,1.57595,1.62272,1.482835,1.291815,1.423665,1.90955,
