"age","year","M2"
"2","2048",0.0576326359369835
"3","2048",0.128073654281811
"4","2048",0.143749307424814
"5","2048",0.160950670589085
"6","2048",0
"7","2048",0
"8","2048",0
"9","2048",0
"10","2048",0
"11","2048",0
"12","2048",0
"13","2048",0
"14","2048",0
"15","2048",0
"16","2048",0
"17","2048",0
"18","2048",0
"19","2048",0
"20","2048",0
"1","2049",1.76949488780891
"2","2049",0.0735170368946143
"3","2049",0.114937749817842
"4","2049",0.127900788220694
"5","2049",0.145361092266926
"6","2049",0
"7","2049",0
"8","2049",0
"9","2049",0
"10","2049",0
"11","2049",0
"12","2049",0
"13","2049",0
"14","2049",0
"15","2049",0
"16","2049",0
"17","2049",0
"18","2049",0
"19","2049",0
"20","2049",0
"1","2050",1.92913791794502
"2","2050",0.0921145686675294
"3","2050",0.105326150591394
"4","2050",0.115218615259895
"5","2050",0.134845889213933
"6","2050",0
"7","2050",0
"8","2050",0
"9","2050",0
"10","2050",0
"11","2050",0
"12","2050",0
"13","2050",0
"14","2050",0
"15","2050",0
"16","2050",0
"17","2050",0
"18","2050",0
"19","2050",0
"20","2050",0
"1","2051",2.11545284291371
"2","2051",0.112467300091321
"3","2051",0.0992377603050556
"4","2051",0.106184046582086
"5","2051",0.129008109028551
"6","2051",0
"7","2051",0
"8","2051",0
"9","2051",0
"10","2051",0
"11","2051",0
"12","2051",0
"13","2051",0
"14","2051",0
"15","2051",0
"16","2051",0
"17","2051",0
"18","2051",0
"19","2051",0
"20","2051",0
"1","2052",2.32424561717046
"2","2052",0.134974321855369
"3","2052",0.0964748946895361
"4","2052",0.100700007800149
"5","2052",0.127497033799189
"6","2052",0
"7","2052",0
"8","2052",0
"9","2052",0
"10","2052",0
"11","2052",0
"12","2052",0
"13","2052",0
"14","2052",0
"15","2052",0
"16","2052",0
"17","2052",0
"18","2052",0
"19","2052",0
"20","2052",0
"1","2053",2.55105861688868
"2","2053",0.159162840472457
"3","2053",0.0967801845913896
"4","2053",0.0985552078839105
"5","2053",0.129925702021468
"6","2053",0
"7","2053",0
"8","2053",0
"9","2053",0
"10","2053",0
"11","2053",0
"12","2053",0
"13","2053",0
"14","2053",0
"15","2053",0
"16","2053",0
