Source,Weight_kg,Sex,Age_yrs,Month,Year
CAN_polish,1.118,U,9,8,1989
CAN_polish,1.13,U,9,8,1989
CAN_polish,1.14,U,9,8,1989
CAN_polish,1.14,U,9,8,1989
CAN_polish,1.141,U,9,8,1989
CAN_polish,1.149,U,9,8,1989
CAN_polish,1.177,U,9,8,1989
CAN_polish,1.201,U,9,8,1989
CAN_polish,1.204,U,9,8,1989
CAN_polish,1.206,U,9,8,1989
CAN_polish,1.222,U,9,8,1989
CAN_polish,1.23,U,9,8,1989
CAN_polish,1.24,U,9,8,1989
CAN_polish,1.252,U,9,8,1989
CAN_polish,1.258,U,9,8,1989
CAN_polish,1.275,U,9,8,1989
CAN_polish,1.277,U,9,8,1989
CAN_polish,1.282,U,9,8,1989
CAN_polish,1.286,U,9,8,1989
CAN_polish,1.299,U,9,8,1989
CAN_polish,1.316,U,9,8,1989
CAN_polish,1.317,U,9,8,1989
CAN_polish,1.319,U,9,8,1989
CAN_polish,1.329,U,9,8,1989
CAN_polish,1.359,U,9,8,1989
CAN_polish,1.388,U,9,8,1989
CAN_polish,1.408,U,9,8,1989
CAN_polish,1.433,U,9,8,1989
CAN_polish,1.435,U,9,8,1989
CAN_polish,1.442,U,9,8,1989
CAN_polish,1.467,U,9,8,1989
CAN_polish,1.583,U,9,8,1989
CAN_polish,1.599,U,9,8,1989
CAN_polish,1.62,U,9,8,1989
CAN_polish,0.785,U,10,8,1989
CAN_polish,0.993,U,10,8,1989
CAN_polish,1.016,U,10,8,1989
CAN_polish,1.151,U,10,8,1989
CAN_polish,1.309,U,11,8,1989
CAN_polish,0.624,U,12,8,1989
CAN_polish,0.67,U,12,8,1989
CAN_polish,0.919,U,12,8,1989
CAN_polish,0.934,U,12,8,1989
CAN_polish,1.051,U,12,8,1989
CAN_polish,1.064,U,12,8,1989
CAN_polish,1.185,U,12,8,1989
CAN_polish,1.189,U,12,8,1989
CAN_polish,1.24,U,12,8,1989
CAN_polish,1.264,U,12,8,1989
CAN_polish,1.277,U,12,8,1989
CAN_polish,1.344,U,12,8,1989
CAN_polish,1.362,U,12,8,1989
CAN_polish,1.416,U,12,8,1989
CAN_polish,1.418,U,12,8,1989
